"---------------------> roundrobin SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 47, 't2': 48, 'similar?': 0.04, 'premature_discard': 0, 'discarded': 9491, 'used': 377, 'hits_t1': 1561, 'rules_t1': 8881, 'hits_t2': 377, 'rules_t2': 9491}"
"{'t1': 48, 't2': 49, 'similar?': 0.03, 'premature_discard': 246, 'discarded': 8879, 'used': 298, 'hits_t1': 377, 'rules_t1': 9491, 'hits_t2': 298, 'rules_t2': 8879}"
"{'t1': 49, 't2': 50, 'similar?': 0.39, 'premature_discard': 33, 'discarded': 6471, 'used': 4089, 'hits_t1': 298, 'rules_t1': 8879, 'hits_t2': 4089, 'rules_t2': 6471}"
"{'t1': 50, 't2': 51, 'similar?': 0.08, 'premature_discard': 0, 'discarded': 9537, 'used': 833, 'hits_t1': 4089, 'rules_t1': 6471, 'hits_t2': 833, 'rules_t2': 9537}"
"{'t1': 51, 't2': 52, 'similar?': 0.22, 'premature_discard': 64, 'discarded': 8376, 'used': 2324, 'hits_t1': 833, 'rules_t1': 9537, 'hits_t2': 2324, 'rules_t2': 8376}"
"{'t1': 52, 't2': 53, 'similar?': 0.51, 'premature_discard': 0, 'discarded': 5212, 'used': 5488, 'hits_t1': 2324, 'rules_t1': 8376, 'hits_t2': 5488, 'rules_t2': 5212}"
"{'t1': 53, 't2': 54, 'similar?': 0.29, 'premature_discard': 74, 'discarded': 7320, 'used': 2951, 'hits_t1': 5488, 'rules_t1': 5212, 'hits_t2': 2951, 'rules_t2': 7320}"
"{'t1': 54, 't2': 55, 'similar?': 0.34, 'premature_discard': 371, 'discarded': 7018, 'used': 3682, 'hits_t1': 2951, 'rules_t1': 7320, 'hits_t2': 3682, 'rules_t2': 7018}"
"{'t1': 55, 't2': 56, 'similar?': 0.11, 'premature_discard': 100, 'discarded': 9310, 'used': 1159, 'hits_t1': 3682, 'rules_t1': 7018, 'hits_t2': 1159, 'rules_t2': 9310}"
"{'t1': 56, 't2': 57, 'similar?': 0.23, 'premature_discard': 1302, 'discarded': 9312, 'used': 1764, 'hits_t1': 1159, 'rules_t1': 9310, 'hits_t2': 1764, 'rules_t2': 9427}"
"{'t1': 57, 't2': 58, 'similar?': 0.33, 'premature_discard': 3877, 'discarded': 11154, 'used': 0, 'hits_t1': 1764, 'rules_t1': 9427, 'hits_t2': 0, 'rules_t2': 11154}"
"{'t1': 58, 't2': 59, 'similar?': 0.13, 'premature_discard': 477, 'discarded': 9398, 'used': 816, 'hits_t1': 0, 'rules_t1': 11154, 'hits_t2': 816, 'rules_t2': 9398}"
"{'t1': 59, 't2': 60, 'similar?': 0.1, 'premature_discard': 801, 'discarded': 10177, 'used': 966, 'hits_t1': 816, 'rules_t1': 9398, 'hits_t2': 966, 'rules_t2': 10231}"
"{'t1': 60, 't2': 61, 'similar?': 0.28, 'premature_discard': 1193, 'discarded': 8785, 'used': 1660, 'hits_t1': 966, 'rules_t1': 10231, 'hits_t2': 1660, 'rules_t2': 8785}"
"{'t1': 61, 't2': 62, 'similar?': 0.58, 'premature_discard': 3007, 'discarded': 7281, 'used': 3749, 'hits_t1': 1660, 'rules_t1': 8785, 'hits_t2': 3749, 'rules_t2': 7530}"
"{'t1': 62, 't2': 63, 'similar?': 0.25, 'premature_discard': 226, 'discarded': 8400, 'used': 2300, 'hits_t1': 3749, 'rules_t1': 7530, 'hits_t2': 2300, 'rules_t2': 8400}"
